,ID,Pseudodiptomus.Adult,Psedodiptomus.copepidite,Acanthocyclops.adult,Acanthocyclops.copepididte,Cyclopoid.sp.,Cyclopoid.nauplii,Calanoid.naulpii,Harpaticoid,Daphnia.pulex,Daphnia.laevis,Daphnia.magna,Daphnia.mendotea,Ceriodaphnia.sp.,Simocephalus.sp.,Bosmina.sp.,Sididae,Chydorus.sphaericus,Eurycercus,Alona,Chydoridae,Diaphanosoma,Scapholeberis,Cladocera.embryo,Eucypris,Ilyocypris,Cypridopsis,Gammarus,Rotifer,Polychaete,Acari,Chironomid.larvae,Oliogochaete,Gastropod,Tardigrade,Nematode,Hyalella,Hydra,Terrestrial.insect,Collembola,Baetidae,Diptera,Hydroptilidae,Coleoptera,Ephemerellidae,Odonata,Bivalve,Trichoptera,Corixidae,Fish.larvae,Ilyocryptus,Streblocerus,Moina,DATE,LOCATION,TIME,TEMP..C.,EC...s.cm.,SPC...s.cm.,TDS..mg.L.,SALINITY..PSU.,DO....sat.,DO..mg.L.,pH,TURBIDITY..NTU.,CHL...g.L.,BGA...g.L.,Start.Rotation,End.Rotation,ZOOP.SCORE..1.10.,Notes,VolumeSampled
1,ACC_1/25/2022_8:15,0,10.1629845,20.32596899,1626.077519,0,40.65193798,121.9558139,0,182.9337209,0,0,0,132.1187984,71.14089147,10.1629845,60.97790697,1758.196318,20.32596899,457.3343023,20.32596899,0,0,0,0,0,0,0,152.4447674,0,0,0,40.65193798,0,0,0,0,10.1629845,10.1629845,0,0,0,0,0,0,0,0,0,0,0,20.32596899,20.32596899,0,1/25/2022,ACC,8:15,8.326,323.3,474.3,309.659,0.23,75.5,8.82,7.22,7.23,3.98,-0.03,115516,116034,3,,0.98396293
3,ACC_11/16/2021_12:15,0,11.14164226,11.14164226,1080.7393,0,11.14164226,144.8413494,0,0,0,0,0,300.8243411,33.42492678,22.28328452,0,1158.730796,0,100.2747804,0,0,0,0,22.28328452,0,55.70821131,0,178.2662762,0,0,0,22.28328452,0,0,0,0,11.14164226,11.14164226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/16/2021,ACC,12:15,14.607,233.8,291.7,189.634,0.14,68.7,6.97,7.32,2.96,2.29,0.15,573298,573823,2,,0.997259726
4,ACC_11/23/2021_8:00,16.95467301,169.5467301,356.0481331,1475.056552,0,203.4560761,84.77336503,0,0,0,0,0,1119.008418,3340.070582,101.728038,135.6373841,4357.350963,101.728038,644.2775743,322.1387871,0,0,135.6373841,203.4560761,0,101.728038,0,288.2294411,0,0,0,84.77336503,0,0,0,118.682711,33.90934601,0,0,0,0,0,0,0,0,0,0,0,0,33.90934601,0,0,11/23/2021,ACC,8:00,10.32,241.2,334.9,217.281,0.16,68.8,7.67,7.41,3.63,1.02,0.16,578603,579224,3,,1.17961579
6,ACC_11/9/2021_12:00,0,48.20902902,24.10451451,3374.632031,0,0,482.0902902,0,0,0,0,0,867.7625223,48.20902902,24.10451451,0,1012.389609,0,144.6270871,0,0,0,0,48.20902902,0,0,0,578.5083482,0,0,72.31354353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/9/2021,ACC,12:00,13.327,228.1,293.3,190.6,0.14,81.8,8.46,7.31,4.63,2.55,-0.03,551676,552222,1,,1.037150115
7,ACC_12/13/2021_7:30,0,0,0,529.6203188,0,194.1941168,52.96203188,0,17.65401063,0,0,0,741.4684463,88.27005313,52.96203188,0,1694.78502,70.61604251,282.46417,0,0,17.65401063,0,0,0,35.30802125,0,653.1983932,0,0,0,0,0,0,0,0,17.65401063,17.65401063,0,0,0,0,0,0,17.65401063,0,0,0,0,0,0,0,12/13/2021,ACC,7:30,9.676,100.6,142.2,92.418,0.07,96.5,10.98,7.99,5.69,0.72,5.69,615868,616365,2,,0.944072541
8,ACC_12/21/2021_9:10,0,11.46434227,22.92868453,366.8589525,0,103.1790804,22.92868453,0,332.4659257,0,0,0,458.5736906,11.46434227,389.7876371,0,332.4659257,0,57.32171133,0,0,0,0,0,0,0,0,1203.755938,0,0,0,11.46434227,0,0,0,0,0,11.46434227,11.46434227,11.46434227,0,0,0,0,0,0,0,0,0,0,0,0,12/21/2021,ACC,9:10,6.686,141.3,217.7,141.406,0.1,79.5,9.69,7.41,25.6,5.92,0.48,27400,27974,2,,1.090337301
9,ACC_12/27/2021_8:50,0,2.314440328,11.57220163,131.9230986,0,9.257761308,27.77328393,0,212.9285101,0,0,0,168.9541439,4.628880655,224.5007117,0,43.97436622,0,11.57220163,0,0,4.628880655,62.48988884,0,0,0,0,131.9230986,0,0,4.628880655,0,0,2.314440328,0,0,0,6.943320982,6.943320982,0,0,2.314440328,0,0,0,0,0,0,0,0,0,0,12/27/2021,ACC,8:50,7.866,116.9,173.7,112.943,0.08,68,8.02,7.21,22.77,5.24,0.3,38463,39132,2,,1.270793823
10,ACC_12/7/2021_8:50,0,0,0,198.328284,0,79.33131357,7.933131357,0,7.933131357,0,0,0,388.7234365,31.73252543,0,0,507.7204068,15.86626272,230.0608093,0,0,7.933131357,0,7.933131357,0,0,0,87.26444493,0,0,0,0,0,0,0,15.86626272,23.79939407,0,0,0,0,0,0,0,0,0,0,0,0,23.79939407,7.933131357,0,12/7/2021,ACC,8:50,10.187,220.5,307.5,199.886,0.15,82.6,9.25,7.43,3.4,1.72,0.02,19599,20073,1,,0.900383067
11,ACC_2/1/2022_7:50,0,0,22.45915516,363.8383135,0,71.8692965,40.42647928,0,13.47549309,0,0,0,17.96732413,58.39380341,4.491831031,4.491831031,413.2484549,17.96732413,130.2630999,4.491831031,0,0,0,8.983662063,0,4.491831031,0,188.6569033,0,0,8.983662063,26.95098619,0,8.983662063,0,8.983662063,13.47549309,0,0,0,0,0,0,0,0,0,0,0,0,13.47549309,0,0,2/1/2022,ACC,7:50,7.923,206.3,304.3,197.663,0.15,99.6,11.77,7.6,6.59,2.85,0.46,646047,646633,2,,1.113131809
12,ACC_2/16/2022_7:40,135.4483458,270.8966915,812.6900746,36164.70832,0,135.4483458,1219.035112,0,4063.450373,0,0,0,270.8966915,0,135.4483458,135.4483458,2167.173532,135.4483458,406.3450373,0,0,0,0,135.4483458,0,0,0,2708.966915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.4483458,0,2/16/2022,ACC,7:40,9.977,265.1,371.5,241.301,0.18,87,9.77,7.59,37.89,15.19,1.1,693485,694068,4,,1.107433182
13,ACC_2/23/2022_7:50,0,94.17577761,470.8788881,2919.449106,0,470.8788881,470.8788881,0,1883.515552,0,0,0,659.2304433,282.5273328,0,94.17577761,10076.8082,659.2304433,1789.339775,188.3515552,0,0,470.8788881,94.17577761,0,188.3515552,0,24203.17485,1695.163997,0,188.3515552,0,0,188.3515552,0,94.17577761,565.0546657,0,0,0,0,0,0,0,0,0,0,0,0,188.3515552,94.17577761,0,2/23/2022,ACC,7:50,8.697,244,353.8,229.4,0.17,86,9.99,7.6,14.43,7.91,0.87,723938,724497,4,,1.061844166
14,ACC_2/9/2022_9:10,0,0,34.72576496,3437.850731,0,138.9030599,1423.756364,34.72576496,381.9834146,0,0,0,69.45152993,173.6288248,0,69.45152993,1805.739778,347.2576496,625.0637694,0,0,0,69.45152993,104.1772949,0,69.45152993,0,590.3380044,0,0,34.72576496,69.45152993,0,0,0,0,69.45152993,0,0,0,0,0,0,0,0,0,0,0,0,0,34.72576496,0,2/9/2022,ACC,9:10,9.595,329.3,466.6,303.302,0.23,100.1,11.38,7.59,4.41,5.44,0.01,128164,128543,3,,0.719926545
15,ACC_3/16/2022_7:40,0,460.44542,0,767.4090333,0,0,0,0,0,0,0,0,3837.045167,920.89084,0,153.4818067,55867.37763,767.4090333,1534.818067,153.4818067,0,0,153.4818067,0,0,613.9272267,0,2455.708907,306.9636133,0,0,306.9636133,0,460.44542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.44542,920.89084,0,3/16/2022,ACC,7:40,14.011,275.6,348.3,226.443,0.17,66.5,6.82,7.19,18.26,2.64,-0.19,819008,819694,1,,1.303086042
16,ACC_3/2/2022_7:30,0,0,62.22725732,933.4088597,0,62.22725732,0,0,62.22725732,0,0,0,124.4545146,1431.226918,0,0,14747.85998,0,435.5908012,0,0,0,0,0,0,0,0,3920.317211,0,0,0,0,0,0,0,0,248.9090293,0,0,0,0,0,0,0,0,0,0,0,0,62.22725732,0,0,3/2/2022,ACC,7:30,12.381,243.2,320.3,208.183,0.15,102.6,10.95,7.65,6.85,1.66,-0.3,753556,754120,1,,1.071341877
17,ACC_3/23/2022_7:40,0,40.43337918,40.43337918,727.8008252,0,80.86675835,0,0,0,0,0,0,2142.969096,1051.267859,0,161.7335167,834625.8129,242.6002751,1657.768546,0,202.1668959,40.43337918,40.43337918,80.86675835,0,80.86675835,0,1415.168271,0,0,80.86675835,161.7335167,0,0,0,0,0,80.86675835,0,0,0,0,0,0,0,0,0,0,40.43337918,283.0336542,121.3001375,0,3/23/2022,ACC,7:40,16.229,284.4,341.3,221.652,0.16,67.7,6.62,7.32,14.96,5.35,-0.22,852050,852701,1,,1.23660206
18,ACC_3/30/2022_7:30,0,0,554.150102,1570.091956,0,277.075051,92.35835033,0,0,0,0,0,6095.651122,369.4334013,554.150102,0,2808710.073,461.7917516,554.150102,0,277.075051,646.5084523,0,277.075051,0,0,0,184.7167007,0,0,184.7167007,92.35835033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461.7917516,738.8668026,0,3/30/2022,ACC,7:30,15.327,364.2,446.8,290.546,0.22,68.7,6.83,NA,14.77,7.02,0.03,885044,885614,2,pH not collected,1.082739131
19,ACC_3/9/2022_7:40,0,88.18133951,0,529.088037,0,0,176.362679,0,0,0,0,0,176.362679,529.088037,0,0,1780204.882,176.362679,1234.538753,0,0,0,0,176.362679,0,0,88.18133951,10669.94208,0,0,88.18133951,0,0,0,0,0,88.18133951,0,0,0,0,0,0,0,0,0,0,0,0,88.18133951,0,0,3/9/2022,ACC,7:40,11.343,249.1,337.9,218.974,0.16,96.2,10.5,7.59,8.89,5.71,-0.21,786770,787367,2,,1.134026774
20,ACCSAC1_1/25/2022_8:30,0,0,52.64425969,1105.529453,0,0,52.64425969,0,10.52885194,0,0,0,0,0,873.8947108,10.52885194,10.52885194,0,10.52885194,0,0,0,0,10.52885194,0,0,0,242.1635946,136.8750752,10.52885194,10.52885194,0,0,73.70196356,0,0,21.05770387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/25/2022,ACCSAC1,8:30,9.219,87.3,125,81.657,0.06,101.8,11.68,7.67,3.75,0.61,-0.15,116110,116735,1,,1.18721396
