Location,"Lat, lon (UTM)",Habitat Type,Purpose,Habitat Type 2
ACC,"38.78183, -121.60432",Agricultural Tributary,Monitoring,Perennial instream
ACCSAC1,"38.7817, -121.60776",Unsibsidized River,Monitoring,Perennial instream
ACCSAC2,"38.77818, -121.60199",Subsidized River,Monitoring,Perennial instream
ACCSAC3,"38.77412, -121.5984",Subsidized River,Monitoring,Perennial instream
ACCSAC4,"38.76663, -121.59364",Subsidized River,Monitoring,Perennial instream
BLSAC,"38.954942, -121.840761",Unsibsidized River,Monitoring,Perennial instream
BSOG1,"39.196691, -121.943795",Unsibsidized River,Monitoring,Perennial instream
BSOG2,"39.192850, -121.935189",Subsidized River,Monitoring,Perennial instream
CBD1,"39.136512, -122.023388",Agricultural Tributary,Monitoring,agricultural canal
CBD2,"39.114491, -122.018413",Agricultural Tributary,Monitoring,agricultural canal
CBD4,"38.925311, -121.914951",Agricultural Tributary,Monitoring,agricultural canal
CBD5,"38.800808, -121.748431",Agricultural Tributary,Monitoring,agricultural canal
CGC01,"39.074840, -121.771981",Managed wetland,Monitoring,Managed wetland
CPORICE,"38.407148, -121.618968",Rice Field,Monitoring,floodplain
CPOTD1,"38.413285, -121.615724",Agricultural Tributary,Monitoring,Perennial instream
CPOTD2,"38.400808, -121.621458",Agricultural Tributary,Monitoring,Perennial instream
ELDCAN,"38.856240, -121.786175",Agricultural Tributary,Monitoring,agricultural canal
ELDSAC,"38.856665, -121.785262",Unsibsidized River,Monitoring,Perennial instream
KLOG,"38.8014, -121.72348",Agricultural Tributary,Monitoring,Perennial instream
KLOGB,"38.799399, -121.725280",Agricultural Tributary,Monitoring,agricultural canal
KLSAC,"38.8024, -121.71673",Subsidized River,Monitoring,Perennial instream
KNG1,"38.7041, -121.66971",Rice Field,Experimental,floodplain
KNG2,"38.7034, -121.6697",Rice Field,Experimental,floodplain
KNG3,"38.7027, -121.66959",Rice Field,Experimental,floodplain
KNG4,"38.70202, -121.66954",Rice Field,Experimental,floodplain
KNG5,"38.70131, -121.66945",Rice Field,Experimental,floodplain
KNG6,"38.70057, -121.66936",Rice Field,Experimental,floodplain
KNG7,"38.69989, -121.6693",Rice Field,Experimental,floodplain
KNG8,"38.6992, -121.66923",Rice Field,Experimental,floodplain
